cpplint/samples/codelite-sample/src/pptable.cpp:187:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:187:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:187:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:188:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:188:  Using C-style cast.  Use static_cast<int>(...) instead  [readability/casting] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:189:  Magic number "2900" detected; consider defining it as a constant  [readability/magic_number] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:190:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:192:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:192:  Lines should be <= 80 characters long  [whitespace/line_length] [2]
cpplint/samples/codelite-sample/src/pptable.cpp:193:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:194:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:194:  { should almost always be at the end of the previous line  [whitespace/braces] [4]
cpplint/samples/codelite-sample/src/pptable.cpp:194:  Missing space before {  [whitespace/braces] [5]
cpplint/samples/codelite-sample/src/pptable.cpp:195:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:196:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:197:  Tab found; better to use spaces  [whitespace/tab] [1]
cpplint/samples/codelite-sample/src/pptable.cpp:197:  An else should appear on the same line as the preceding }  [whitespace/newline] [4]
